epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.473,1.3469,0.86341,1.07799,0.6789,0.49589,0.55431,0.33941,1.49865,1.0326,1.20193,0.000424187,0.000424187,0.000424187
43,125.199,1.32507,0.85444,1.08219,0.6965,0.47728,0.54728,0.32368,1.49465,1.03018,1.20578,0.000417119,0.000417119,0.000417119
44,127.935,1.34251,0.8634,1.07696,0.72939,0.50161,0.55599,0.31945,1.51389,1.06182,1.2211,0.00041005,0.00041005,0.00041005
45,130.666,1.34551,0.86611,1.09069,0.71339,0.4732,0.56416,0.32587,1.47592,1.03291,1.21073,0.000402982,0.000402982,0.000402982
46,133.505,1.29129,0.81355,1.05997,0.78302,0.4596,0.55397,0.31187,1.44472,1.02748,1.20061,0.000395913,0.000395913,0.000395913
47,136.618,1.33614,0.84769,1.07001,0.79098,0.45748,0.56273,0.31057,1.46834,1.02591,1.18777,0.000388844,0.000388844,0.000388844
48,139.528,1.29398,0.82807,1.06539,0.73342,0.47547,0.56482,0.31497,1.41378,1.0027,1.16837,0.000381776,0.000381776,0.000381776
49,142.246,1.30789,0.83595,1.06743,0.71044,0.48772,0.57777,0.34093,1.43542,1.01829,1.17701,0.000374707,0.000374707,0.000374707
50,145.103,1.31186,0.82519,1.06627,0.63806,0.49134,0.54759,0.31992,1.40271,1.0103,1.17636,0.000367639,0.000367639,0.000367639
51,147.961,1.26731,0.79607,1.04413,0.5791,0.51659,0.5491,0.31489,1.44778,1.01474,1.18341,0.00036057,0.00036057,0.00036057
52,150.854,1.25382,0.79779,1.04664,0.809,0.47208,0.58276,0.34723,1.4595,0.99563,1.18536,0.000353501,0.000353501,0.000353501
53,153.915,1.29993,0.80945,1.05316,0.79947,0.50715,0.59558,0.35435,1.4043,1.00058,1.17213,0.000346433,0.000346433,0.000346433
54,156.935,1.26372,0.80638,1.05389,0.7879,0.50437,0.58967,0.35459,1.35905,0.97405,1.15254,0.000339364,0.000339364,0.000339364
55,159.834,1.25318,0.78491,1.05001,0.73481,0.51664,0.56407,0.34389,1.39488,0.97913,1.17991,0.000332296,0.000332296,0.000332296
56,162.851,1.25797,0.78182,1.04209,0.67896,0.52617,0.57074,0.33859,1.41008,0.96756,1.18204,0.000325227,0.000325227,0.000325227
57,165.63,1.21542,0.76843,1.03229,0.7341,0.52479,0.59186,0.3435,1.3927,0.99077,1.17079,0.000318158,0.000318158,0.000318158
58,168.323,1.23658,0.78163,1.04176,0.78064,0.50788,0.59767,0.35452,1.41669,1.01463,1.18818,0.00031109,0.00031109,0.00031109
59,171.056,1.23632,0.78027,1.03622,0.73316,0.51883,0.59419,0.36101,1.39229,0.98563,1.1668,0.000304021,0.000304021,0.000304021
60,173.823,1.19249,0.7524,1.0256,0.74928,0.51558,0.59108,0.34162,1.36433,0.98869,1.15533,0.000296953,0.000296953,0.000296953
61,176.504,1.20015,0.75102,1.02114,0.68411,0.53472,0.58738,0.33283,1.39113,1.00059,1.17397,0.000289884,0.000289884,0.000289884
62,179.224,1.16612,0.7402,1.02655,0.80753,0.50546,0.59641,0.33791,1.32947,0.95546,1.14454,0.000282815,0.000282815,0.000282815
63,181.954,1.19138,0.7461,1.01956,0.811,0.50755,0.59797,0.35124,1.34407,0.95906,1.146,0.000275747,0.000275747,0.000275747
64,184.685,1.15656,0.73265,1.02012,0.80711,0.4909,0.57101,0.35948,1.37758,0.99404,1.16544,0.000268678,0.000268678,0.000268678
65,187.55,1.16684,0.72983,1.00236,0.81814,0.5041,0.60335,0.35912,1.37484,0.99068,1.15836,0.00026161,0.00026161,0.00026161
66,190.435,1.17699,0.73428,1.00872,0.80734,0.5128,0.59727,0.36075,1.37104,0.98449,1.1651,0.000254541,0.000254541,0.000254541
67,193.483,1.15949,0.73259,1.01173,0.79902,0.5078,0.59578,0.37409,1.33548,0.97237,1.1548,0.000247472,0.000247472,0.000247472
68,196.52,1.1922,0.74028,1.02385,0.79072,0.51105,0.59736,0.36691,1.34855,0.98136,1.16154,0.000240404,0.000240404,0.000240404
69,199.262,1.16427,0.73059,1.00162,0.77056,0.51611,0.57841,0.36454,1.33589,0.98135,1.15692,0.000233335,0.000233335,0.000233335
70,201.982,1.13874,0.711,1.00109,0.76828,0.51653,0.5787,0.3625,1.34538,0.9574,1.15812,0.000226267,0.000226267,0.000226267
71,204.72,1.14162,0.70563,0.9863,0.81978,0.50133,0.57746,0.36702,1.33336,0.94749,1.1523,0.000219198,0.000219198,0.000219198
72,207.449,1.15164,0.71381,1.01667,0.68351,0.5336,0.57342,0.34906,1.30919,0.93164,1.14566,0.000212129,0.000212129,0.000212129
73,210.142,1.11673,0.70418,1.00849,0.78685,0.51855,0.58264,0.34756,1.31379,0.92688,1.1451,0.000205061,0.000205061,0.000205061
74,213.006,1.1184,0.70855,0.99831,0.81681,0.50331,0.58247,0.36866,1.32119,0.95136,1.16028,0.000197992,0.000197992,0.000197992
